reaction_id,Equation,surfaceComposition,facet,reactionEnergy,activationEnergy,publication_title,publication_year,publication_doi,chemicalComposition,dftCode,dftFunctional,curation_status,surface_family
UmVhY3Rpb246OTk1,CO2(g) -> CO* + O*,Au,111,3.29,3.38,Trends in the catalytic CO oxidation activity of nanoparticles,2008,10.1002/ange.200801479,Au,DACAPO,RPBE,review,metal
UmVhY3Rpb246OTkx,CO2(g) -> CO* + O*,Pd,111,0.74,1.84,Trends in the catalytic CO oxidation activity of nanoparticles,2008,10.1002/ange.200801479,Pd,DACAPO,RPBE,review,metal
UmVhY3Rpb246OTc5,CO2(g) -> CO* + O*,Co,211,-1.107,0.372,"Trends in CO oxidation rates for metal nanoparticles and close-packed, stepped, and kinked surfaces",2009,10.1021/jp811185g,Co,DACAPO,RPBE,review,metal
UmVhY3Rpb246MjQzMg==,CO2(g) + * -> CO2*,ZnO,1,-1.04,0.0,Thermochemistry and micro-kinetic analysis of methanol synthesis on ZnO (0001),2014,10.1016/j.jcat.2013.10.015,ZnO,GPAW,BEEF,review,oxide/support
UmVhY3Rpb246OTcy,CO2(g) -> CO* + O*,Ru,211,-1.477,-0.009,"Trends in CO oxidation rates for metal nanoparticles and close-packed, stepped, and kinked surfaces",2009,10.1021/jp811185g,Ru,DACAPO,RPBE,review,metal
UmVhY3Rpb246OTkz,CO2(g) -> CO* + O*,Ag,211,2.623,2.739,"Trends in CO oxidation rates for metal nanoparticles and close-packed, stepped, and kinked surfaces",2009,10.1021/jp811185g,Ag,DACAPO,RPBE,review,metal
UmVhY3Rpb246NDMxNTEy,CO2(g) + * -> CO2*,CeO2-rocksalt-1Ovacancy,110,-2.0674949300000094,,Selective high-temperature CO2 electrolysis enabled by oxidized carbon intermediates,2019,10.1038/s41560-019-0457-4,Ce16O31,VASP-5.4.4,PBE+U,ok,oxide/support
UmVhY3Rpb246NDMxNTE0,CO2(g) - 0.5O2(g) + * -> CO*,CeO2-rocksalt-1Ovacancy,110,2.1391504399999803,,Selective high-temperature CO2 electrolysis enabled by oxidized carbon intermediates,2019,10.1038/s41560-019-0457-4,Ce16O31,VASP-5.4.4,PBE+U,ok,oxide/support
UmVhY3Rpb246NDMxNTE1,CO2(g) - O2(g) + * -> C*,CeO2-rocksalt-1Ovacancy,110,4.858703030000015,,Selective high-temperature CO2 electrolysis enabled by oxidized carbon intermediates,2019,10.1038/s41560-019-0457-4,Ce16O31,VASP-5.4.4,PBE+U,ok,oxide/support
UmVhY3Rpb246NDMxNTE3,CO2(g) + * -> CO2*,CeO2-rocksalt-1Ovacancy,111,-0.8284287399999926,,Selective high-temperature CO2 electrolysis enabled by oxidized carbon intermediates,2019,10.1038/s41560-019-0457-4,Ce12O23,VASP-5.4.4,PBE+U,ok,oxide/support
