copt_series_id,dataset_label,copt_surface_base,copt_reaction,copt_path_id,n_points,initial_E_eV,final_E_eV,max_E_eV,forward_barrier_eV,reverse_barrier_eV,reaction_energy_eV,ts_step,complete_scan
Ni-slabs|Ni-211-clean-3x3x4|CO%C_O|1,Ni-slabs,Ni-211-clean-3x3x4,CO%C_O,1,7,-92.17550949,-90.95368223,-89.20454385,2.970965640000003,1.749138380000005,1.2218272599999978,3,True
Ni-slabs|Ni-211-clean-3x3x4|CO2%CO_O|1,Ni-slabs,Ni-211-clean-3x3x4,CO2%CO_O,1,6,-96.3308278,-97.33870599,-96.03244632,0.2983814799999891,1.3062596699999887,-1.0078781899999996,2,False
Ni-slabs|Ni-211-clean-3x3x4|CO2%HCOO|1,Ni-slabs,Ni-211-clean-3x3x4,CO2%HCOO,1,6,-100.48366964,-101.52849141,-99.88692392,0.5967457200000013,1.64156749,-1.0448217699999987,3,False
Ni-slabs|Ni-211-clean-3x3x4|CO_H%COH|2,Ni-slabs,Ni-211-clean-3x3x4,CO_H%COH,2,7,-95.96404522,-94.97700257,-93.94841357,2.015631650000003,1.0285889999999966,0.9870426500000065,3,True
Ni-slabs|Ni-211-clean-3x3x4|CO_H%COH|1,Ni-slabs,Ni-211-clean-3x3x4,CO_H%COH,1,7,-95.96404522,-94.97700257,-94.54664893,1.4173962899999992,0.43035363999999277,0.9870426500000065,5,True
Ni-slabs|Ni-211-clean-3x3x4|CO_H%HCO|1,Ni-slabs,Ni-211-clean-3x3x4,CO_H%HCO,1,7,-95.96404522,-95.01100273,-94.75464771,1.2093975100000023,0.2563550200000009,0.9530424900000014,5,True
Ni-slabs|Ni-211-clean-3x3x4|CO_H%HCO|2,Ni-slabs,Ni-211-clean-3x3x4,CO_H%HCO,2,7,-95.96404522,-95.01100273,-94.98050125,0.9835439699999995,0.030501479999998082,0.9530424900000014,5,True
Ni-slabs|Ni-211-clean-3x3x4|H2CO%H2C_O|1,Ni-slabs,Ni-211-clean-3x3x4,H2CO%H2C_O,1,7,-98.83505421,-98.97481334,-97.69134812,1.143706089999995,1.2834652199999965,-0.13975913000000162,2,True
Ni-slabs|Ni-211-clean-3x3x4|H2CO%H2C_O|2,Ni-slabs,Ni-211-clean-3x3x4,H2CO%H2C_O,2,4,-98.83505421,-98.97481334,-97.71853963,1.1165145800000005,1.256273710000002,-0.13975913000000162,4,False
Ni-slabs|Ni-211-clean-3x3x4|HCO%HC_O|4,Ni-slabs,Ni-211-clean-3x3x4,HCO%HC_O,4,3,-95.05315634,-95.00607029,-93.83914174,1.2140145999999987,1.1669285499999944,0.04708605000000432,3,False
Ni-slabs|Ni-211-clean-3x3x4|HCO%HC_O|3,Ni-slabs,Ni-211-clean-3x3x4,HCO%HC_O,3,7,-95.05315634,-95.00607029,-93.89334094,1.1598153999999994,1.112729349999995,0.04708605000000432,3,True
Ni-slabs|Ni-211-clean-3x3x4|HCO%HC_O|1,Ni-slabs,Ni-211-clean-3x3x4,HCO%HC_O,1,7,-95.01100273,-95.00551015,-93.85460928,1.156393449999996,1.150900870000001,0.005492579999994973,2,True
Ni-slabs|Ni-211-clean-3x3x4|HCO%HC_O|2,Ni-slabs,Ni-211-clean-3x3x4,HCO%HC_O,2,6,-94.92941644,-95.00551015,-93.85460834,1.0748080999999985,1.1509018100000077,-0.0760937100000092,2,False
Ni-slabs|Ni-211-clean-3x3x4|HCOO%HCO_O|1,Ni-slabs,Ni-211-clean-3x3x4,HCOO%HCO_O,1,7,-101.52849141,-100.54624515,-99.50453859,2.023952820000005,1.0417065600000086,0.9822462599999966,4,True
Ni-slabs|Ni-211-clean-3x3x4|HCOO%HCO_O|2,Ni-slabs,Ni-211-clean-3x3x4,HCOO%HCO_O,2,4,-101.52849141,-100.54624515,-99.55335755,1.9751338599999997,0.9928876000000031,0.9822462599999966,2,False
Ni-slabs|Ni-211-clean-3x3x4|HCOO_H%HCOOH|1,Ni-slabs,Ni-211-clean-3x3x4,HCOO_H%HCOOH,1,6,-105.28752419,-103.85867561,-103.85867561,1.4288485799999933,0.0,1.4288485799999933,5,False
Ni-slabs|Ni-211-clean-3x3x4|HCO_H%H2CO|1,Ni-slabs,Ni-211-clean-3x3x4,HCO_H%H2CO,1,7,-98.90568329,-98.83505421,-98.3932121,0.5124711899999994,0.44184210999999607,0.07062908000000334,3,True
