dataset_label,adsorbate,surface_ref_status,rows,median_delta_E_to_surface_eV,min_delta_E_to_surface_eV,max_delta_E_to_surface_eV
CaO-slabs,CH3O,ok,2,-23.13866236999999,-23.427367370000013,-22.84995736999997
CaO-slabs,CO,ok,5,-12.833579450000002,-98.81524956999999,-12.296013899999991
CaO-slabs,CO2,ok,1,-19.764924399999984,-19.764924399999984,-19.764924399999984
CaO-slabs,COOH,ok,1,-21.21109882999997,-21.21109882999997,-21.21109882999997
CaO-slabs,HCOO,ok,1,-21.976536399999986,-21.976536399999986,-21.976536399999986
Ga2O3-slabs,CH3O,ok,4,-21.95738926499999,-23.395160859999976,125.54940462
Ga2O3-slabs,CO,missing,1,,,
Ga2O3-slabs,CO,ok,10,-12.29252332999998,-24.514777349999974,163.73423327
Ga2O3-slabs,CO2,ok,1,-18.53967782000001,-18.53967782000001,-18.53967782000001
Ga2O3-slabs,HCO,ok,1,-14.98239971999999,-14.98239971999999,-14.98239971999999
Ni-slabs,CH3O,ok,41,-24.632604880000002,-71.94733975,-24.01629899999999
Ni-slabs,CO,missing,66,,,
Ni-slabs,CO,ok,138,-13.69135688,-55.38824973,126.16002149
Ni-slabs,CO2,missing,13,,,
Ni-slabs,CO2,ok,4,-18.518669664999997,-18.620199299999996,-18.49236116
Ni-slabs,COOH,missing,1,,,
Ni-slabs,COOH,ok,32,-22.14640189,-22.65202148,-21.585516639999998
Ni-slabs,H2COOH,ok,14,-29.592607609999995,-29.989926680000004,-26.312323380000002
Ni-slabs,HCO,missing,30,,,
Ni-slabs,HCO,ok,38,-16.445175749999997,-26.22202566,-15.674390749999997
Ni-slabs,HCOO,missing,25,,,
Ni-slabs,HCOO,ok,80,-22.63592204000001,-36.49046493,-21.47954268000001
Ni-slabs,HCOOH,missing,5,,,
Ni-slabs,HCOOH,ok,36,-25.584551570000002,-25.88896946,105.6250253
Ni3Ga,CO,ok,2,-13.591096159999974,-13.964847909999996,-13.217344409999953
Ni5Ga3-slabs,CH3O,ok,10,-24.436712120000003,-24.699292920000005,-24.002207040000002
Ni5Ga3-slabs,CO,ok,11,-26.535056490000017,-40.63445546000001,-13.25567786000002
NiO-slabs,CH3O,ok,6,16.064233590000004,-23.456890130000005,221.95566513
NiO-slabs,CO,missing,3,,,
NiO-slabs,CO,ok,21,-13.176004070000005,-51.82356637999999,221.95566513
NiO-slabs,HCOO,ok,1,-67.88600898000001,-67.88600898000001,-67.88600898000001
