phase_id,Name,Formula,phase_label,Ga_percent,Monolayer_alloy,stable_grid_fraction,T_min_K,T_max_K,log10_ratio_min,log10_ratio_max,min_energy,panel,unit
1,Cu-bulk-Cu32,Cu32,0.0% Ga,0.0,,0.3890794474830815,300.0,1100.0,-11.5,4.0,0.0,Bulk oxide-derived,eV/atom
16,Cu-bulk-Cu4Ga28_a,Cu4Ga28,87.5% Ga,87.5,,0.38296097153981645,385.0,1100.0,-16.0,-3.299999999999999,-4.038512182573822,Bulk oxide-derived,eV/atom
21,Cu-bulk-CuGa2,Cu4Ga8,66.7% Ga,66.67,,0.07654275207811873,330.0,1100.0,-16.0,-2.299999999999999,-0.37893529481599564,Bulk oxide-derived,eV/atom
14,Cu-bulk-Cu9Ga4,Cu36Ga16,30.8% Ga,30.77,,0.06164828033744322,300.0,1100.0,-16.0,-1.299999999999999,-0.12023948839028137,Bulk oxide-derived,eV/atom
3,Cu-bulk-Cu6Ga2,Cu6Ga2,25.0% Ga,25.0,,0.0470319211396434,300.0,1100.0,-14.2,-0.7999999999999989,-0.05033793080304372,Bulk oxide-derived,eV/atom
13,Cu-bulk-CuGa,Cu5Ga5,50.0% Ga,50.0,,0.014183739686659869,320.0,1100.0,-16.0,-2.0999999999999996,-0.16318653010869977,Bulk oxide-derived,eV/atom
6,Cu-bulk-Cu28Ga4,Cu28Ga4,12.5% Ga,12.5,,0.010969994746763079,300.0,1100.0,-12.2,-0.6999999999999993,-0.006755777416572933,Bulk oxide-derived,eV/atom
24,Cu-bulk-Cu13Ga9,Cu26Ga18,40.9% Ga,40.91,,0.009363122276814684,315.0,1100.0,-16.0,-2.0,-0.13527228628759724,Bulk oxide-derived,eV/atom
22,Cu-bulk-Cu30Ga2_b,Cu30Ga2,6.2% Ga,6.25,,0.008219770711659096,300.0,1100.0,-11.8,-0.5999999999999996,-0.001884995408306278,Bulk oxide-derived,eV/atom
17,Cu-100-Ga-2x2x4-4,Cu12Ga4,100.0% ML,,100.0,0.4844102469021353,315.0,1100.0,-16.0,-2.0,-0.7347974887126449,Surface hkl 100,eV/Å²
0,Cu-100-clean-9x7x4,Cu252,0.0% ML,,0.0,0.3225487469484874,300.0,1100.0,-8.7,4.0,0.0,Surface hkl 100,eV/Å²
19,Cu-100-Ga-2x2x4-2,Cu14Ga2,50.0% ML,,50.0,0.15123142053706623,300.0,1100.0,-16.0,-0.1999999999999993,-0.04594448378329506,Surface hkl 100,eV/Å²
16,Cu-100-Ga-2x2x4-1,Cu15Ga,25.0% ML,,25.0,0.03266277309106641,300.0,1100.0,-10.1,0.1999999999999993,-0.004460829856905315,Surface hkl 100,eV/Å²
30,Cu-100-Ga-3x3x4-6,Cu30Ga6,66.7% ML,,66.67,0.00883779858471617,310.0,1100.0,-16.0,-1.8999999999999986,-0.04923832776022155,Surface hkl 100,eV/Å²
32,Cu-100-Ga-3x3x4-3-a,Cu33Ga3,33.3% ML,,33.33,0.00030901393652853746,305.0,1055.0,-9.899999999999999,-0.29999999999999893,-0.004551179902657403,Surface hkl 100,eV/Å²
35,Cu-110-Ga-2x2x9-10-a,Cu26Ga10,250.0% ML,,250.0,0.37319613114551464,395.0,1100.0,-16.0,-3.3999999999999986,-1.2714065607315337,Surface hkl 110,eV/Å²
0,Cu-110-clean-2x2x4,Cu16,0.0% ML,,0.0,0.2814498933901919,300.0,1100.0,-7.0,4.0,0.0,Surface hkl 110,eV/Å²
38,Cu-110-Ga-2x2x9-4-b,Cu28Ga8,200.0% ML,,200.0,0.15802972714069405,300.0,1100.0,-16.0,-1.5,-0.1821188341490863,Surface hkl 110,eV/Å²
46,Cu-110-Ga-2x2x6-2-b,Cu22Ga2,50.0% ML,,50.0,0.08080714440221254,300.0,1100.0,-11.3,0.40000000000000213,-0.01769060357435909,Surface hkl 110,eV/Å²
29,Cu-110-Ga-1x2x4-2,Cu6Ga2,100.0% ML,,100.0,0.06195729427397176,300.0,1100.0,-14.7,-0.7999999999999989,-0.04729338216891343,Surface hkl 110,eV/Å²
30,Cu-110-Ga-3x3x6-6,Cu48Ga6,66.7% ML,,66.67,0.02212539785544328,300.0,1100.0,-12.2,-0.5,-0.023423692289560184,Surface hkl 110,eV/Å²
