hkl,phase_id,Name,Formula,phase_label,short_label,Ga,Cu,Monolayer_alloy,stable_grid_fraction,stable_percent,T_min_stable_K,T_max_stable_K,log10_ratio_min_stable,log10_ratio_max_stable,min_G_per_Area_eV_A2
211,19,Cu-211-Ga-2x3x4-6,Cu18Ga6,300.0% ML · Cu-211-Ga-2x3x4-6,300.0% ML,6,18.0,300.0,0.42134050245666077,42.134050245666074,355.0,1100.0,-16.0,-2.799999999999999,-0.8975032179121406
211,0,Cu-211-clean-2x3x4,Cu24,0.0% ML · Cu-211-clean-2x3x4,0.0% ML,0,24.0,0.0,0.31309292049071413,31.309292049071413,300.0,1100.0,-8.3,4.0,0.0
211,11,Cu-211-Ga-4x3x4-6,Cu42Ga6,150.0% ML · Cu-211-Ga-4x3x4-6,150.0% ML,6,42.0,150.0,0.07203114860480207,7.203114860480207,300.0,1100.0,-14.4,-0.5999999999999996,-0.03570121946407705
211,16,Cu-211-Ga-3x3x4-7,Cu29Ga7,233.3% ML · Cu-211-Ga-3x3x4-7,233.3% ML,7,29.0,233.33,0.06983714965544946,6.983714965544946,300.0,1100.0,-16.0,-1.3999999999999986,-0.07280948251505481
211,6,Cu-211-Ga-3x3x4-2-a,Cu34Ga2,66.7% ML · Cu-211-Ga-3x3x4-2-a,66.7% ML,2,34.0,66.67,0.03532029294521183,3.532029294521183,300.0,1100.0,-10.5,0.10000000000000142,-0.006259977587778527
211,18,Cu-211-Ga-4x3x4-11,Cu37Ga11,275.0% ML · Cu-211-Ga-4x3x4-11,275.0% ML,11,37.0,275.0,0.029418126757516764,2.9418126757516765,335.0,1100.0,-16.0,-2.3999999999999986,-0.10402952864774279
211,8,Cu-211-Ga-4x3x4-4,Cu44Ga4,100.0% ML · Cu-211-Ga-4x3x4-4,100.0% ML,4,44.0,100.0,0.023639566144433116,2.3639566144433117,300.0,1100.0,-11.5,-0.29999999999999893,-0.011551267003303042
211,17,Cu-211-Ga-2x3x4-5,Cu19Ga5,250.0% ML · Cu-211-Ga-2x3x4-5,250.0% ML,5,19.0,250.0,0.018293625042489416,1.8293625042489416,325.0,1100.0,-16.0,-2.1999999999999993,-0.08366966096809714
211,2,Cu-211-Ga-6x3x4-1,Cu71Ga,16.7% ML · Cu-211-Ga-6x3x4-1,16.7% ML,1,71.0,16.67,0.00933222088316183,0.933222088316183,300.0,1100.0,-8.7,0.3000000000000007,-0.00034502606663132547
211,4,Cu-211-Ga-3x3x4-1-a,Cu35Ga,33.3% ML · Cu-211-Ga-3x3x4-1-a,33.3% ML,1,35.0,33.33,0.004975124378109453,0.4975124378109453,300.0,1100.0,-8.899999999999999,0.1999999999999993,-0.00072666004120122
211,5,Cu-211-Ga-4x3x4-2,Cu46Ga2,50.0% ML · Cu-211-Ga-4x3x4-2,50.0% ML,2,46.0,50.0,0.0027193226414511293,0.27193226414511296,300.0,1085.0,-9.0,0.10000000000000142,-0.0010134475737647447
