hkl,phase_id,Name,Formula,phase_label,short_label,Ga,Cu,Monolayer_alloy,stable_grid_fraction,stable_percent,T_min_stable_K,T_max_stable_K,log10_ratio_min_stable,log10_ratio_max_stable,min_G_per_Area_eV_A2
100,10,Cu-100-Ga-2x2x4-4,Cu12Ga4,100.0% ML · Cu-100-Ga-2x2x4-4,100.0% ML,4,12.0,100.0,0.4844102469021353,48.44102469021353,315.0,1100.0,-16.0,-2.0,-0.7347974887126435
100,0,Cu-100-clean-2x2x4,Cu16,0.0% ML · Cu-100-clean-2x2x4,0.0% ML,0,16.0,0.0,0.3225487469484874,32.25487469484874,300.0,1100.0,-8.7,4.0,0.0
100,7,Cu-100-Ga-2x2x4-2,Cu14Ga2,50.0% ML · Cu-100-Ga-2x2x4-2,50.0% ML,2,14.0,50.0,0.15123142053706623,15.123142053706623,300.0,1100.0,-16.0,-0.1999999999999993,-0.04594448378329512
100,5,Cu-100-Ga-2x2x4-1,Cu15Ga,25.0% ML · Cu-100-Ga-2x2x4-1,25.0% ML,1,15.0,25.0,0.03266277309106641,3.2662773091066413,300.0,1100.0,-10.1,0.1999999999999993,-0.004460829856905359
100,8,Cu-100-Ga-3x3x4-6,Cu30Ga6,66.7% ML · Cu-100-Ga-3x3x4-6,66.7% ML,6,30.0,66.67,0.00883779858471617,0.883779858471617,310.0,1100.0,-16.0,-1.8999999999999986,-0.049238327760221884
100,6,Cu-100-Ga-3x3x4-3-a,Cu33Ga3,33.3% ML · Cu-100-Ga-3x3x4-3-a,33.3% ML,3,33.0,33.33,0.00030901393652853746,0.030901393652853746,305.0,1055.0,-9.899999999999999,-0.29999999999999893,-0.004551179902657368
110,12,Cu-110-Ga-2x2x9-10-a,Cu26Ga10,250.0% ML · Cu-110-Ga-2x2x9-10-a,250.0% ML,10,26.0,250.0,0.37319613114551464,37.319613114551466,395.0,1100.0,-16.0,-3.3999999999999986,-1.271406560731533
110,0,Cu-110-clean-1x2x4,Cu8,0.0% ML · Cu-110-clean-1x2x4,0.0% ML,0,8.0,0.0,0.2814498933901919,28.14498933901919,300.0,1100.0,-7.0,4.0,0.0
110,11,Cu-110-Ga-2x2x9-4-b,Cu28Ga8,200.0% ML · Cu-110-Ga-2x2x9-4-b,200.0% ML,8,28.0,200.0,0.15802972714069405,15.802972714069405,300.0,1100.0,-16.0,-1.5,-0.18211883414908636
110,6,Cu-110-Ga-2x2x6-2-b,Cu22Ga2,50.0% ML · Cu-110-Ga-2x2x6-2-b,50.0% ML,2,22.0,50.0,0.08080714440221254,8.080714440221254,300.0,1100.0,-11.3,0.40000000000000213,-0.017690603574359136
110,9,Cu-110-Ga-1x2x4-2,Cu6Ga2,100.0% ML · Cu-110-Ga-1x2x4-2,100.0% ML,2,6.0,100.0,0.06195729427397176,6.1957294273971755,300.0,1100.0,-14.7,-0.7999999999999989,-0.04729338216891321
110,7,Cu-110-Ga-3x3x6-6,Cu48Ga6,66.7% ML · Cu-110-Ga-3x3x6-6,66.7% ML,6,48.0,66.67,0.02212539785544328,2.212539785544328,300.0,1100.0,-12.2,-0.5,-0.023423692289560205
110,4,Cu-110-Ga-2x2x6-1,Cu23Ga,25.0% ML · Cu-110-Ga-2x2x6-1,25.0% ML,1,23.0,25.0,0.018200920861530856,1.8200920861530856,300.0,1100.0,-7.9,0.6000000000000014,-0.0020485293906100273
110,3,Cu-110-Ga-2x3x6-1,Cu35Ga,16.7% ML · Cu-110-Ga-2x3x6-1,16.7% ML,1,35.0,16.67,0.0042334909304409625,0.42334909304409624,300.0,1080.0,-7.199999999999999,0.6000000000000014,-0.0002704762810060643
111,17,Cu-111-Ga-2x2x6-4,Cu20Ga4,100.0% ML · Cu-111-Ga-2x2x6-4,100.0% ML,4,20.0,100.0,0.41049411328450913,41.049411328450915,365.0,1100.0,-16.0,-2.8999999999999986,-0.8300405158139929
111,0,Cu-111-clean-2x2x4,Cu16,0.0% ML · Cu-111-clean-2x2x4,0.0% ML,0,16.0,0.0,0.2548746948487377,25.48746948487377,300.0,1100.0,-5.899999999999999,4.0,0.0
111,7,Cu-111-Ga-3x3x6-3,Cu51Ga3,33.3% ML · Cu-111-Ga-3x3x6-3,33.3% ML,3,51.0,33.33,0.11662185964587003,11.662185964587003,300.0,1100.0,-13.4,0.1999999999999993,-0.02937178694990282
111,12,Cu-111-Ga-3x3x6-6,Cu48Ga6,66.7% ML · Cu-111-Ga-3x3x6-6,66.7% ML,6,48.0,66.67,0.08102345415778252,8.102345415778252,310.0,1100.0,-16.0,-1.8999999999999986,-0.08976723993803071
111,10,Cu-111-Ga-2x2x6-2,Cu22Ga2,50.0% ML · Cu-111-Ga-2x2x6-2,50.0% ML,2,22.0,50.0,0.07249466950959488,7.249466950959488,300.0,1100.0,-16.0,-1.0999999999999996,-0.05237956926025268
111,2,Cu-111-Ga-3x3x5-1,Cu44Ga,11.1% ML · Cu-111-Ga-3x3x5-1,11.1% ML,1,44.0,11.11,0.060783041315163315,6.078304131516331,300.0,1100.0,-8.399999999999999,0.9000000000000021,-0.004271812199573042
111,5,Cu-111-Ga-4x4x6-4,Cu92Ga4,25.0% ML · Cu-111-Ga-4x4x6-4,25.0% ML,4,92.0,25.0,0.003708167238342449,0.3708167238342449,300.0,1100.0,-8.6,0.3000000000000007,-0.004865230142133914
211,19,Cu-211-Ga-2x3x4-6,Cu18Ga6,300.0% ML · Cu-211-Ga-2x3x4-6,300.0% ML,6,18.0,300.0,0.42134050245666077,42.134050245666074,355.0,1100.0,-16.0,-2.799999999999999,-0.8975032179121406
211,0,Cu-211-clean-2x3x4,Cu24,0.0% ML · Cu-211-clean-2x3x4,0.0% ML,0,24.0,0.0,0.31309292049071413,31.309292049071413,300.0,1100.0,-8.3,4.0,0.0
211,11,Cu-211-Ga-4x3x4-6,Cu42Ga6,150.0% ML · Cu-211-Ga-4x3x4-6,150.0% ML,6,42.0,150.0,0.07203114860480207,7.203114860480207,300.0,1100.0,-14.4,-0.5999999999999996,-0.03570121946407705
211,16,Cu-211-Ga-3x3x4-7,Cu29Ga7,233.3% ML · Cu-211-Ga-3x3x4-7,233.3% ML,7,29.0,233.33,0.06983714965544946,6.983714965544946,300.0,1100.0,-16.0,-1.3999999999999986,-0.07280948251505481
211,6,Cu-211-Ga-3x3x4-2-a,Cu34Ga2,66.7% ML · Cu-211-Ga-3x3x4-2-a,66.7% ML,2,34.0,66.67,0.03532029294521183,3.532029294521183,300.0,1100.0,-10.5,0.10000000000000142,-0.006259977587778527
211,18,Cu-211-Ga-4x3x4-11,Cu37Ga11,275.0% ML · Cu-211-Ga-4x3x4-11,275.0% ML,11,37.0,275.0,0.029418126757516764,2.9418126757516765,335.0,1100.0,-16.0,-2.3999999999999986,-0.10402952864774279
211,8,Cu-211-Ga-4x3x4-4,Cu44Ga4,100.0% ML · Cu-211-Ga-4x3x4-4,100.0% ML,4,44.0,100.0,0.023639566144433116,2.3639566144433117,300.0,1100.0,-11.5,-0.29999999999999893,-0.011551267003303042
211,17,Cu-211-Ga-2x3x4-5,Cu19Ga5,250.0% ML · Cu-211-Ga-2x3x4-5,250.0% ML,5,19.0,250.0,0.018293625042489416,1.8293625042489416,325.0,1100.0,-16.0,-2.1999999999999993,-0.08366966096809714
211,2,Cu-211-Ga-6x3x4-1,Cu71Ga,16.7% ML · Cu-211-Ga-6x3x4-1,16.7% ML,1,71.0,16.67,0.00933222088316183,0.933222088316183,300.0,1100.0,-8.7,0.3000000000000007,-0.00034502606663132547
211,4,Cu-211-Ga-3x3x4-1-a,Cu35Ga,33.3% ML · Cu-211-Ga-3x3x4-1-a,33.3% ML,1,35.0,33.33,0.004975124378109453,0.4975124378109453,300.0,1100.0,-8.899999999999999,0.1999999999999993,-0.00072666004120122
211,5,Cu-211-Ga-4x3x4-2,Cu46Ga2,50.0% ML · Cu-211-Ga-4x3x4-2,50.0% ML,2,46.0,50.0,0.0027193226414511293,0.27193226414511296,300.0,1085.0,-9.0,0.10000000000000142,-0.0010134475737647447
